"fk_pems_id","unixtime","flows","occs"
400041,1202493600,"{6,18,17,14}","{0.0383,0.13,0.1794,0.1522}"
400041,1202493630,"{12,14,12,5}","{0.0717,0.0978,0.1117,0.0633}"
400041,1202493660,"{16,11,13,12}","{0.1006,0.08,0.0978,0.1839}"
400041,1202493690,"{8,11,9,8}","{0.0467,0.085,0.1244,0.0572}"
400041,1202493720,"{8,11,9,8}","{0.0467,0.085,0.1244,0.0572}"
400041,1202493750,"{10,17,17,11}","{0.0639,0.1206,0.1333,0.1228}"
400041,1202493780,"{8,12,8,6}","{0.0517,0.0828,0.0906,0.0722}"
400041,1202493810,"{12,13,8,12}","{0.0761,0.0894,0.1294,0.1939}"
400041,1202493840,"{5,12,7,7}","{0.0289,0.0778,0.0472,0.0806}"
400041,1202493870,"{4,11,8,7}","{0.0256,0.0722,0.1133,0.1122}"
400041,1202493900,"{9,10,10,6}","{0.0522,0.0644,0.07,0.0933}"
400041,1202493930,"{17,16,9,16}","{0.1089,0.1117,0.1133,0.1689}"
400041,1202493960,"{8,12,6,11}","{0.0489,0.0861,0.1006,0.1078}"
400041,1202493990,"{13,17,8,10}","{0.0772,0.1111,0.0811,0.1056}"
400041,1202494020,"{5,8,4,6}","{0.0311,0.0483,0.025,0.0622}"
400041,1202494050,"{12,11,11,9}","{0.0761,0.0717,0.1039,0.1339}"
400041,1202494080,"{12,13,7,8}","{0.0728,0.0822,0.0906,0.1256}"
400041,1202494110,"{5,14,8,11}","{0.0322,0.0978,0.1433,0.1222}"
400041,1202494140,"{14,17,12,12}","{0.095,0.1117,0.1267,0.1367}"
400041,1202494170,"{16,15,19,10}","{0.0956,0.0956,0.1667,0.0922}"
400041,1202494200,"{12,12,10,11}","{0.0783,0.0994,0.1244,0.1394}"
400041,1202494230,"{12,12,6,6}","{0.0761,0.0744,0.0789,0.0578}"
400041,1202494260,"{8,8,4,1}","{0.0478,0.0556,0.0478,0.0194}"
400041,1202494290,"{14,15,8,9}","{0.0844,0.1011,0.1267,0.0956}"
400041,1202494320,"{15,18,12,9}","{0.1083,0.1322,0.1533,0.1144}"
400041,1202494350,"{18,18,15,9}","{0.1267,0.1361,0.1656,0.1706}"
400041,1202494380,"{15,11,9,9}","{0.09,0.0744,0.13,0.0906}"
400041,1202494410,"{11,10,13,13}","{0.0672,0.0717,0.1444,0.1294}"
400041,1202494440,"{11,15,13,11}","{0.0706,0.1011,0.1344,0.1494}"
400041,1202494470,"{13,12,9,14}","{0.0839,0.0872,0.08,0.1472}"
400041,1202494500,"{18,14,12,12}","{0.1206,0.0967,0.1294,0.1278}"
400041,1202494530,"{13,14,9,10}","{0.0806,0.1056,0.0956,0.1267}"
400041,1202494560,"{8,14,11,12}","{0.0483,0.0994,0.0883,0.1122}"
400041,1202494590,"{9,13,16,10}","{0.0567,0.0989,0.1967,0.1072}"
400041,1202494620,"{11,12,10,4}","{0.0689,0.0778,0.0994,0.07}"
400041,1202494650,"{11,12,10,4}","{0.0689,0.0778,0.0994,0.07}"
400041,1202494680,"{12,11,10,10}","{0.0783,0.0744,0.1072,0.1439}"
400041,1202494710,"{8,16,11,10}","{0.055,0.1078,0.1372,0.1422}"
400041,1202494740,"{9,16,12,12}","{0.0539,0.11,0.1306,0.1372}"
400041,1202494770,"{13,13,12,16}","{0.0817,0.0939,0.1028,0.1817}"
400041,1202494800,"{9,11,11,11}","{0.0617,0.0733,0.125,0.1272}"
400041,1202494830,"{9,18,13,15}","{0.0611,0.1356,0.1117,0.1472}"
