"fk_pems_id","unixtime","flows","occs"
400006,1202493600,"{12,11,7,12}","{0.06,0.0711,0.0439,0.095}"
400006,1202493630,"{11,10,5,4}","{0.0572,0.0661,0.0417,0.0361}"
400006,1202493660,"{14,15,13,8}","{0.0756,0.1017,0.0783,0.0783}"
400006,1202493690,"{10,11,7,2}","{0.0544,0.0972,0.1039,0.0194}"
400006,1202493720,"{13,17,8,4}","{0.0661,0.115,0.1244,0.0317}"
400006,1202493750,"{9,12,6,10}","{0.045,0.0772,0.0367,0.1022}"
400006,1202493780,"{16,13,6,3}","{0.0867,0.0889,0.06,0.0639}"
400006,1202493810,"{12,9,6,4}","{0.0667,0.0517,0.0428,0.0378}"
400006,1202493840,"{20,14,10,6}","{0.1094,0.1089,0.0872,0.0544}"
400006,1202493870,"{10,14,7,10}","{0.0528,0.1011,0.0578,0.1289}"
400006,1202493900,"{14,12,8,6}","{0.0694,0.1033,0.0983,0.0711}"
400006,1202493930,"{18,14,8,11}","{0.1022,0.1061,0.1094,0.0983}"
400006,1202493960,"{11,8,5,11}","{0.0572,0.0578,0.0417,0.0822}"
400006,1202493990,"{9,11,8,6}","{0.0433,0.0739,0.0717,0.0806}"
400006,1202494020,"{16,10,6,8}","{0.0806,0.0611,0.0461,0.0817}"
400006,1202494050,"{8,10,8,7}","{0.04,0.0833,0.0944,0.0878}"
400006,1202494080,"{10,12,5,10}","{0.0528,0.0811,0.0317,0.0783}"
400006,1202494110,"{14,11,7,8}","{0.0833,0.0744,0.0733,0.1044}"
400006,1202494140,"{10,9,9,9}","{0.0544,0.0722,0.0561,0.0667}"
400006,1202494170,"{23,17,10,9}","{0.125,0.1283,0.0928,0.105}"
400006,1202494200,"{11,13,11,9}","{0.0589,0.0778,0.0917,0.0694}"
400006,1202494230,"{8,14,7,6}","{0.0439,0.115,0.0722,0.0617}"
400006,1202494260,"{13,18,8,4}","{0.0689,0.12,0.0528,0.03}"
400006,1202494290,"{13,18,8,4}","{0.0689,0.12,0.0528,0.03}"
400006,1202494320,"{13,12,6,6}","{0.0661,0.0811,0.0622,0.0472}"
400006,1202494350,"{10,11,11,10}","{0.0544,0.0806,0.1372,0.1094}"
400006,1202494380,"{10,11,11,10}","{0.0544,0.0806,0.1372,0.1094}"
400006,1202494410,"{14,13,10,11}","{0.075,0.0867,0.0828,0.1339}"
400006,1202494440,"{18,13,8,6}","{0.0933,0.0867,0.0756,0.055}"
400006,1202494470,"{7,14,8,8}","{0.0367,0.0911,0.0789,0.0722}"
400006,1202494500,"{16,11,7,4}","{0.0806,0.0728,0.0694,0.0272}"
400006,1202494530,"{8,10,8,6}","{0.0394,0.065,0.1156,0.0578}"
400006,1202494560,"{15,12,11,6}","{0.0778,0.0856,0.075,0.0733}"
400006,1202494590,"{13,12,10,8}","{0.0667,0.0667,0.1089,0.1222}"
400006,1202494620,"{5,10,7,10}","{0.0244,0.0678,0.0528,0.1194}"
400006,1202494650,"{13,14,9,2}","{0.0639,0.1017,0.0972,0.0156}"
400006,1202494680,"{6,9,8,2}","{0.03,0.0667,0.0728,0.0228}"
400006,1202494710,"{19,15,6,8}","{0.1061,0.0994,0.0428,0.0683}"
400006,1202494740,"{19,17,8,7}","{0.1022,0.1172,0.0833,0.0744}"
400006,1202494770,"{15,17,10,8}","{0.0728,0.1183,0.1111,0.0928}"
400006,1202494800,"{7,10,7,1}","{0.0367,0.0628,0.0678,0.0067}"
400006,1202494830,"{14,14,7,3}","{0.0739,0.0867,0.0539,0.0339}"
400006,1202494860,"{14,14,7,3}","{0.0739,0.0867,0.0539,0.0339}"
400006,1202494890,"{8,6,7,12}","{0.0394,0.0328,0.0594,0.1444}"
400006,1202494920,"{16,10,9,9}","{0.095,0.0628,0.0967,0.0811}"
400006,1202494950,"{15,14,8,8}","{0.0794,0.1044,0.0861,0.0783}"
400006,1202494980,"{12,14,13,9}","{0.0617,0.0939,0.09,0.0717}"
400006,1202495010,"{18,9,10,9}","{0.0889,0.0539,0.085,0.0878}"
400006,1202495040,"{7,13,12,5}","{0.0356,0.0894,0.0772,0.0456}"
400006,1202495070,"{9,11,12,8}","{0.0472,0.0744,0.0789,0.07}"
400006,1202495100,"{14,13,7,11}","{0.075,0.0833,0.1017,0.125}"
400006,1202495130,"{7,10,7,10}","{0.0372,0.0711,0.0706,0.08}"
400006,1202495160,"{7,10,7,8}","{0.0428,0.0689,0.1122,0.0828}"
400006,1202495190,"{15,11,13,13}","{0.075,0.0733,0.1311,0.1394}"
400006,1202495220,"{18,17,10,7}","{0.0961,0.1222,0.0994,0.0617}"
400006,1202495250,"{11,12,11,7}","{0.0622,0.0878,0.0961,0.0606}"
400006,1202495280,"{11,17,9,8}","{0.0572,0.1194,0.1139,0.0678}"
400006,1202495310,"{10,12,4,11}","{0.0528,0.09,0.0461,0.0783}"
400006,1202495340,"{16,12,11,8}","{0.0828,0.085,0.08,0.0878}"
400006,1202495370,"{14,10,8,3}","{0.0756,0.0711,0.0578,0.0306}"
400006,1202495400,"{19,18,10,8}","{0.1078,0.1356,0.145,0.085}"
400006,1202495430,"{19,13,6,4}","{0.105,0.0878,0.0594,0.0233}"
400006,1202495460,"{10,16,9,11}","{0.0594,0.1178,0.0867,0.0961}"
400006,1202495490,"{14,11,10,7}","{0.0744,0.0667,0.0856,0.1278}"
400006,1202495520,"{12,11,11,7}","{0.0644,0.0967,0.0989,0.05}"
400006,1202495550,"{21,16,14,9}","{0.1128,0.1194,0.0889,0.1322}"
400006,1202495580,"{11,16,9,9}","{0.0567,0.1328,0.0956,0.1011}"
400006,1202495610,"{12,11,6,8}","{0.0667,0.0861,0.0567,0.0844}"
400006,1202495640,"{9,9,10,10}","{0.0411,0.0639,0.0872,0.1056}"
400006,1202495670,"{13,11,9,9}","{0.07,0.0717,0.0556,0.0906}"
400006,1202495700,"{11,11,7,9}","{0.0528,0.0789,0.0578,0.0872}"
400006,1202495730,"{10,14,6,8}","{0.0533,0.1028,0.0811,0.0661}"
400006,1202495760,"{11,14,11,13}","{0.0594,0.1006,0.1083,0.1117}"
400006,1202495790,"{7,7,9,12}","{0.035,0.0517,0.0656,0.1178}"
400006,1202495820,"{10,13,4,7}","{0.0544,0.09,0.0267,0.0561}"
400006,1202495850,"{13,10,9,7}","{0.0678,0.0661,0.0678,0.0644}"
400006,1202495880,"{11,12,7,9}","{0.0556,0.0894,0.0772,0.1039}"
400006,1202495910,"{10,12,8,8}","{0.0544,0.0828,0.0911,0.065}"
400006,1202495940,"{16,10,5,5}","{0.0867,0.08,0.0389,0.0572}"
400006,1202495970,"{11,9,5,10}","{0.0567,0.0611,0.0344,0.0833}"
400006,1202496000,"{16,14,10,5}","{0.0861,0.1078,0.0839,0.0594}"
400006,1202496030,"{13,10,7,8}","{0.065,0.0722,0.0817,0.0622}"
400006,1202496060,"{10,12,5,10}","{0.0539,0.0794,0.055,0.0772}"
400006,1202496090,"{14,12,10,8}","{0.0744,0.0794,0.0611,0.0978}"
400006,1202496120,"{18,15,8,14}","{0.1011,0.105,0.0506,0.1372}"
400006,1202496150,"{14,12,7,6}","{0.0767,0.0789,0.0744,0.0989}"
400006,1202496180,"{12,14,10,10}","{0.0656,0.1022,0.0939,0.08}"
400006,1202496210,"{18,14,10,9}","{0.0967,0.0922,0.0872,0.0794}"
400006,1202496240,"{8,11,7,5}","{0.0406,0.0767,0.0444,0.0628}"
400006,1202496270,"{18,15,10,7}","{0.0978,0.1039,0.0933,0.0467}"
400006,1202496300,"{8,15,4,10}","{0.0394,0.0972,0.0311,0.1061}"
400006,1202496330,"{20,13,10,7}","{0.1061,0.0794,0.0672,0.08}"
400006,1202496360,"{7,12,11,7}","{0.04,0.0856,0.085,0.0572}"
400006,1202496390,"{17,12,8,2}","{0.0872,0.0894,0.1256,0.0139}"
400006,1202496420,"{15,20,10,8}","{0.0817,0.13,0.1506,0.0733}"
400006,1202496450,"{10,15,8,8}","{0.0511,0.1044,0.0833,0.0844}"
400006,1202496480,"{15,16,8,5}","{0.0844,0.1144,0.1061,0.0561}"
400006,1202496510,"{10,7,7,10}","{0.0606,0.0456,0.0994,0.0967}"
400006,1202496540,"{13,12,10,7}","{0.0711,0.0761,0.0883,0.0528}"
400006,1202496570,"{24,17,11,8}","{0.1317,0.1139,0.0828,0.0794}"
400006,1202496600,"{9,10,9,5}","{0.0511,0.0717,0.1172,0.05}"
400006,1202496630,"{14,15,9,7}","{0.0783,0.105,0.0883,0.0761}"
400006,1202496660,"{8,15,7,11}","{0.0433,0.1078,0.0928,0.1033}"
400006,1202496690,"{8,11,8,8}","{0.0411,0.0778,0.1083,0.0733}"
400006,1202496720,"{12,10,8,10}","{0.0667,0.0683,0.0744,0.0844}"
400006,1202496750,"{13,15,14,9}","{0.0722,0.1106,0.0978,0.0744}"
400006,1202496780,"{13,14,11,9}","{0.0728,0.0878,0.1022,0.0667}"
400006,1202496810,"{11,11,8,11}","{0.0567,0.0722,0.095,0.0806}"
400006,1202496840,"{8,11,6,7}","{0.0422,0.0889,0.0494,0.0811}"
400006,1202496870,"{16,18,9,9}","{0.0883,0.1339,0.085,0.0894}"
400006,1202496900,"{14,10,7,14}","{0.0694,0.0667,0.0483,0.1661}"
400006,1202496930,"{5,14,8,9}","{0.0256,0.0922,0.0872,0.155}"
400006,1202496960,"{3,6,6,12}","{0.0183,0.0539,0.08,0.1261}"
400006,1202496990,"{8,8,10,14}","{0.04,0.0533,0.0717,0.175}"
400006,1202497020,"{8,7,6,5}","{0.0428,0.0478,0.0372,0.0522}"
400006,1202497050,"{5,9,10,12}","{0.025,0.0544,0.0794,0.1217}"
400006,1202497080,"{5,5,5,5}","{0.0278,0.035,0.0394,0.0344}"
400006,1202497110,"{5,15,8,6}","{0.0239,0.1044,0.0989,0.0928}"
400006,1202497140,"{6,10,5,8}","{0.0317,0.0622,0.0411,0.0906}"
400006,1202497170,"{4,7,3,5}","{0.0183,0.0444,0.0306,0.0417}"
400006,1202497200,"{8,12,5,4}","{0.0389,0.0789,0.0333,0.0356}"
400006,1202497230,"{9,10,5,6}","{0.0472,0.0728,0.0517,0.0811}"
400006,1202497260,"{6,13,9,3}","{0.0317,0.0889,0.0717,0.0294}"
400006,1202497290,"{8,8,5,4}","{0.0422,0.0444,0.0344,0.05}"
400006,1202497320,"{8,13,9,6}","{0.0389,0.0822,0.0578,0.0544}"
400006,1202497350,"{3,9,6,6}","{0.0161,0.0628,0.0367,0.0533}"
400006,1202497380,"{2,2,5,2}","{0.0128,0.0117,0.0478,0.0217}"
400006,1202497410,"{6,12,6,5}","{0.03,0.0722,0.0389,0.0422}"
400006,1202497440,"{12,11,6,5}","{0.0628,0.0683,0.0394,0.045}"
400006,1202497470,"{10,14,7,4}","{0.05,0.0983,0.0456,0.025}"
400006,1202497500,"{10,14,7,4}","{0.05,0.0983,0.0456,0.025}"
400006,1202497530,"{18,11,6,10}","{0.11,0.0667,0.0461,0.105}"
400006,1202497560,"{14,14,7,11}","{0.08,0.0906,0.0483,0.1011}"
400006,1202497590,"{12,8,10,5}","{0.0622,0.0578,0.105,0.0361}"
400006,1202497620,"{10,11,9,5}","{0.0528,0.0728,0.1061,0.0394}"
400006,1202497650,"{10,11,9,5}","{0.0528,0.0728,0.1061,0.0394}"
400006,1202497680,"{22,16,12,12}","{0.1322,0.1106,0.1444,0.1239}"
400006,1202497710,"{13,11,7,11}","{0.0689,0.0806,0.0606,0.1117}"
400006,1202497740,"{11,10,9,6}","{0.0594,0.0772,0.1172,0.0756}"
400006,1202497770,"{18,10,9,11}","{0.1006,0.0711,0.0994,0.0906}"
400006,1202497800,"{15,15,9,12}","{0.0833,0.11,0.1011,0.1256}"
400006,1202497830,"{21,11,9,4}","{0.1128,0.0867,0.0928,0.0283}"
400006,1202497860,"{14,11,6,8}","{0.0706,0.0794,0.0878,0.0833}"
400006,1202497890,"{18,14,7,8}","{0.0972,0.115,0.0506,0.0656}"
400006,1202497920,"{18,15,14,8}","{0.0983,0.1144,0.0939,0.0683}"
400006,1202497950,"{9,14,4,11}","{0.0461,0.1161,0.0272,0.1}"
400006,1202497980,"{15,15,9,8}","{0.075,0.1211,0.0772,0.0639}"
400006,1202498010,"{13,11,5,8}","{0.0667,0.09,0.0339,0.0639}"
400006,1202498040,"{12,12,7,4}","{0.0628,0.0983,0.0678,0.0378}"
400006,1202498070,"{13,12,10,11}","{0.0722,0.0989,0.0767,0.125}"
400006,1202498100,"{17,14,9,5}","{0.0889,0.1167,0.0717,0.0489}"
400006,1202498130,"{17,14,9,5}","{0.0889,0.1167,0.0717,0.0489}"
400006,1202498160,"{17,14,9,5}","{0.0889,0.1167,0.0717,0.0489}"
400006,1202498340,"{15,13,6,7}","{0.0806,0.1194,0.0833,0.1033}"
400006,1202498370,"{12,16,7,11}","{0.0683,0.1389,0.0661,0.1144}"
400006,1202498400,"{18,11,7,7}","{0.095,0.0844,0.0983,0.1017}"
400006,1202498430,"{12,13,6,11}","{0.0678,0.1111,0.0494,0.1244}"
400006,1202498460,"{13,8,10,6}","{0.0672,0.0594,0.0894,0.0628}"
400006,1202498490,"{13,8,10,6}","{0.0672,0.0594,0.0894,0.0628}"
400006,1202498520,"{18,16,10,8}","{0.0989,0.1172,0.0922,0.0844}"
400006,1202498550,"{8,10,8,13}","{0.0461,0.0822,0.0794,0.1356}"
400006,1202498580,"{9,10,8,10}","{0.0478,0.0761,0.0628,0.09}"
400006,1202498610,"{11,10,7,5}","{0.0578,0.0667,0.0894,0.0606}"
400006,1202498640,"{16,15,11,6}","{0.0861,0.0967,0.1,0.0433}"
400006,1202498670,"{19,13,12,15}","{0.11,0.0883,0.0989,0.2}"
