"fk_vtl_id","timestamp2unix","coordinate","vel_mph"
-63,1202494798,"(-122.0982,37.6515)",56
-63,1202494878,"(-122.0982,37.6515)",49
-63,1202495946,"(-122.0984,37.6515)",39
-63,1202496704,"(-122.0983,37.6515)",61
-63,1202496965,"(-122.0982,37.6515)",53
-63,1202498930,"(-122.0982,37.6515)",49
-63,1202499956,"(-122.0982,37.6515)",52
-63,1202500088,"(-122.0983,37.6515)",65
-62,1202494580,"(-122.0963,37.6485)",61
-62,1202494617,"(-122.0965,37.6485)",49
-62,1202494627,"(-122.0963,37.6485)",58
-62,1202494644,"(-122.0963,37.6485)",60
-62,1202494731,"(-122.0963,37.6485)",62
-62,1202494783,"(-122.0963,37.6485)",57
-62,1202494785,"(-122.0963,37.6485)",59
-62,1202494861,"(-122.0963,37.6485)",53
-62,1202494865,"(-122.0963,37.6486)",53
-62,1202495714,"(-122.0963,37.6485)",61
-62,1202495725,"(-122.0963,37.6485)",55
-62,1202495923,"(-122.0964,37.6485)",51
-62,1202496131,"(-122.0963,37.6485)",64
-62,1202496436,"(-122.0963,37.6485)",69
-62,1202496691,"(-122.0964,37.6485)",64
-62,1202496701,"(-122.0963,37.6485)",62
-62,1202496733,"(-122.0963,37.6485)",48
-62,1202496742,"(-122.0963,37.6485)",52
-62,1202496874,"(-122.0963,37.6485)",61
-62,1202496950,"(-122.0963,37.6485)",57
-62,1202496959,"(-122.0963,37.6485)",52
-62,1202496992,"(-122.0963,37.6485)",53
-62,1202497002,"(-122.0963,37.6485)",57
-62,1202497044,"(-122.0964,37.6485)",55
-62,1202497098,"(-122.0963,37.6485)",46
-62,1202497141,"(-122.0963,37.6485)",51
-62,1202497196,"(-122.0963,37.6485)",50
-62,1202497268,"(-122.0963,37.6485)",58
-62,1202497295,"(-122.0963,37.6486)",56
-62,1202497543,"(-122.0963,37.6485)",50
-62,1202497571,"(-122.0963,37.6485)",58
-62,1202497792,"(-122.0963,37.6485)",60
-62,1202498065,"(-122.0963,37.6485)",50
-62,1202498172,"(-122.0963,37.6485)",54
-62,1202498228,"(-122.0963,37.6485)",49
-62,1202498296,"(-122.0963,37.6485)",51
-62,1202498332,"(-122.0963,37.6485)",56
-62,1202498434,"(-122.0963,37.6485)",57
-62,1202498497,"(-122.0963,37.6486)",59
-62,1202498535,"(-122.0963,37.6485)",56
-62,1202498897,"(-122.0964,37.6485)",61
-62,1202498913,"(-122.0964,37.6485)",53
-62,1202499289,"(-122.0963,37.6485)",60
-62,1202499368,"(-122.0963,37.6485)",42
-62,1202499504,"(-122.0963,37.6486)",53
-62,1202499516,"(-122.0963,37.6485)",49
-62,1202499586,"(-122.0963,37.6485)",51
-62,1202499646,"(-122.0963,37.6485)",50
-62,1202499678,"(-122.0963,37.6485)",58
-62,1202499700,"(-122.0963,37.6485)",55
-62,1202499941,"(-122.0963,37.6485)",54
-62,1202500076,"(-122.0964,37.6485)",63
-62,1202500078,"(-122.0963,37.6486)",59
-62,1202500208,"(-122.0963,37.6486)",49
-62,1202500312,"(-122.0963,37.6485)",54
-62,1202500338,"(-122.0963,37.6486)",50
-62,1202500368,"(-122.0963,37.6485)",59
-62,1202500470,"(-122.0963,37.6485)",54
-62,1202500492,"(-122.0963,37.6485)",56
-62,1202500706,"(-122.0963,37.6485)",48
-62,1202500749,"(-122.0963,37.6485)",51
-62,1202500770,"(-122.0963,37.6486)",47
-62,1202500852,"(-122.0963,37.6485)",60
-62,1202500978,"(-122.0963,37.6485)",47
-62,1202500979,"(-122.0963,37.6485)",45
-62,1202500980,"(-122.0963,37.6485)",47
-62,1202501110,"(-122.0963,37.6486)",55
-62,1202501239,"(-122.0963,37.6485)",42
-62,1202501269,"(-122.0963,37.6486)",44
-62,1202501555,"(-122.0963,37.6486)",49
-62,1202501573,"(-122.0963,37.6486)",54
-62,1202501660,"(-122.0963,37.6486)",59
-62,1202501670,"(-122.0962,37.6486)",53
