"fk_vtl_id","unixtime","coordinate","vel_mph"
-62,1202494756,"(-122.0984,37.6515)",65
-62,1202494999,"(-122.0986,37.6514)",67
-62,1202495139,"(-122.0986,37.6514)",58
-62,1202495163,"(-122.0986,37.6514)",53
-62,1202495195,"(-122.0985,37.6514)",70
-62,1202498043,"(-122.0986,37.6514)",51
-62,1202498662,"(-122.0985,37.6514)",52
-62,1202499029,"(-122.0986,37.6514)",59
-62,1202499778,"(-122.0985,37.6514)",52
-62,1202500736,"(-122.0984,37.6515)",68
-62,1202500996,"(-122.0984,37.6515)",70
-62,1202502010,"(-122.0986,37.6514)",51
-62,1202503264,"(-122.0986,37.6514)",54
-62,1202503485,"(-122.0985,37.6515)",66
-62,1202505223,"(-122.0986,37.6514)",38
-62,1202506381,"(-122.0986,37.6514)",55
-62,1202507183,"(-122.0984,37.6515)",60
-62,1202508001,"(-122.0984,37.6515)",69
-62,1202508862,"(-122.0985,37.6514)",48
-61,1202494757,"(-122.0966,37.6484)",63
-61,1202494768,"(-122.0965,37.6485)",69
-61,1202494811,"(-122.0966,37.6484)",57
-61,1202494868,"(-122.0965,37.6485)",68
-61,1202494925,"(-122.0966,37.6484)",53
-61,1202495011,"(-122.0966,37.6484)",68
-61,1202495152,"(-122.0966,37.6484)",63
-61,1202495178,"(-122.0966,37.6484)",57
-61,1202495207,"(-122.0965,37.6485)",71
-61,1202495845,"(-122.0966,37.6484)",59
-61,1202495870,"(-122.0966,37.6484)",59
-61,1202496247,"(-122.0966,37.6484)",60
-61,1202496556,"(-122.0965,37.6485)",65
-61,1202496817,"(-122.0966,37.6485)",57
-61,1202496886,"(-122.0966,37.6484)",62
-61,1202496887,"(-122.0967,37.6484)",56
-61,1202497006,"(-122.0966,37.6484)",64
-61,1202497092,"(-122.0966,37.6484)",61
-61,1202497102,"(-122.0966,37.6484)",62
-61,1202497144,"(-122.0966,37.6484)",64
-61,1202497239,"(-122.0966,37.6484)",58
-61,1202497274,"(-122.0966,37.6484)",62
-61,1202497334,"(-122.0966,37.6484)",62
-61,1202497399,"(-122.0966,37.6484)",65
-61,1202497426,"(-122.0966,37.6484)",57
-61,1202497702,"(-122.0966,37.6484)",63
-61,1202497909,"(-122.0965,37.6485)",66
-61,1202498195,"(-122.0966,37.6485)",61
-61,1202498319,"(-122.0966,37.6484)",55
-61,1202498365,"(-122.0966,37.6484)",62
-61,1202498457,"(-122.0966,37.6484)",58
-61,1202498478,"(-122.0966,37.6484)",59
-61,1202498566,"(-122.0966,37.6484)",56
-61,1202498633,"(-122.0966,37.6484)",56
-61,1202498678,"(-122.0966,37.6484)",56
-61,1202499017,"(-122.0966,37.6485)",66
-61,1202499043,"(-122.0966,37.6484)",65
-61,1202499217,"(-122.0966,37.6484)",55
-61,1202499420,"(-122.0966,37.6484)",60
-61,1202499640,"(-122.0966,37.6484)",60
-61,1202499644,"(-122.0966,37.6484)",66
-61,1202499670,"(-122.0966,37.6484)",56
-61,1202499791,"(-122.0965,37.6485)",58
-61,1202499809,"(-122.0966,37.6485)",62
-61,1202499833,"(-122.0966,37.6484)",61
-61,1202499843,"(-122.0966,37.6484)",60
-61,1202500203,"(-122.0966,37.6484)",63
-61,1202500364,"(-122.0966,37.6484)",51
-61,1202500457,"(-122.0966,37.6484)",56
-61,1202500580,"(-122.0966,37.6484)",50
-61,1202500668,"(-122.0967,37.6484)",66
-61,1202500748,"(-122.0966,37.6484)",68
-61,1202500847,"(-122.0966,37.6484)",64
-61,1202500915,"(-122.0966,37.6484)",58
-61,1202500938,"(-122.0966,37.6484)",54
-61,1202500985,"(-122.0966,37.6484)",52
-61,1202501007,"(-122.0965,37.6485)",72
-61,1202501115,"(-122.0966,37.6484)",54
-61,1202501120,"(-122.0966,37.6484)",54
-61,1202501246,"(-122.0965,37.6485)",62
-61,1202501391,"(-122.0966,37.6484)",54
-61,1202501436,"(-122.0966,37.6484)",55
-61,1202501703,"(-122.0966,37.6484)",51
-61,1202501717,"(-122.0966,37.6484)",58
-61,1202501808,"(-122.0966,37.6484)",64
-61,1202501827,"(-122.0966,37.6484)",56
-61,1202501871,"(-122.0966,37.6484)",55
-61,1202502027,"(-122.0966,37.6484)",54
-61,1202502040,"(-122.0966,37.6484)",68
-61,1202502196,"(-122.0966,37.6484)",60
-61,1202502390,"(-122.0967,37.6484)",57
-61,1202502567,"(-122.0966,37.6484)",59
-61,1202502572,"(-122.0966,37.6484)",50
-61,1202502646,"(-122.0966,37.6484)",59
-61,1202502800,"(-122.0966,37.6484)",61
-61,1202502827,"(-122.0966,37.6484)",60
-61,1202503040,"(-122.0966,37.6484)",60
-61,1202503041,"(-122.0966,37.6484)",63
-61,1202503113,"(-122.0966,37.6484)",57
-61,1202503121,"(-122.0966,37.6484)",57
-61,1202503278,"(-122.0966,37.6484)",58
-61,1202503299,"(-122.0966,37.6484)",54
-61,1202503417,"(-122.0965,37.6485)",58
-61,1202503452,"(-122.0966,37.6484)",64
-61,1202503498,"(-122.0965,37.6485)",65
-61,1202503628,"(-122.0966,37.6484)",44
-61,1202503841,"(-122.0966,37.6484)",61
-61,1202504081,"(-122.0966,37.6485)",53
-61,1202504084,"(-122.0966,37.6484)",53
-61,1202504103,"(-122.0966,37.6484)",64
-61,1202504191,"(-122.0966,37.6484)",63
-61,1202504196,"(-122.0966,37.6484)",67
-61,1202504245,"(-122.0966,37.6484)",61
-61,1202504410,"(-122.0966,37.6484)",53
-61,1202504437,"(-122.0966,37.6484)",60
-61,1202504479,"(-122.0966,37.6484)",54
-61,1202504530,"(-122.0966,37.6484)",66
-61,1202504631,"(-122.0966,37.6484)",59
-61,1202504825,"(-122.0965,37.6485)",54
-61,1202504888,"(-122.0966,37.6484)",61
-61,1202504927,"(-122.0966,37.6484)",48
-61,1202505139,"(-122.0966,37.6484)",57
-61,1202505245,"(-122.0966,37.6484)",59
-61,1202505257,"(-122.0966,37.6484)",59
-61,1202505290,"(-122.0966,37.6484)",61
-61,1202505308,"(-122.0966,37.6485)",52
-61,1202505442,"(-122.0966,37.6484)",51
-61,1202505534,"(-122.0966,37.6484)",58
-61,1202505549,"(-122.0966,37.6484)",56
-61,1202505559,"(-122.0966,37.6484)",64
-61,1202505567,"(-122.0965,37.6485)",68
-61,1202505597,"(-122.0965,37.6485)",71
-61,1202505675,"(-122.0966,37.6484)",43
-61,1202506158,"(-122.0966,37.6484)",56
-61,1202506201,"(-122.0966,37.6484)",53
-61,1202506356,"(-122.0966,37.6484)",62
-61,1202506380,"(-122.0966,37.6484)",60
-61,1202506451,"(-122.0966,37.6484)",53
-61,1202506659,"(-122.0966,37.6484)",58
-61,1202506677,"(-122.0965,37.6485)",63
-61,1202506684,"(-122.0966,37.6484)",58
-61,1202506757,"(-122.0966,37.6484)",53
-61,1202506763,"(-122.0966,37.6484)",55
-61,1202506906,"(-122.0966,37.6484)",57
-61,1202506919,"(-122.0966,37.6484)",63
-61,1202507015,"(-122.0966,37.6484)",63
-61,1202507016,"(-122.0966,37.6484)",62
-61,1202507039,"(-122.0966,37.6484)",56
-61,1202507060,"(-122.0965,37.6485)",46
-61,1202507085,"(-122.0966,37.6484)",57
-61,1202507152,"(-122.0966,37.6484)",55
-61,1202507274,"(-122.0966,37.6484)",56
-61,1202507397,"(-122.0965,37.6485)",67
-61,1202507418,"(-122.0963,37.6485)",65
-61,1202507496,"(-122.0966,37.6484)",48
-61,1202507512,"(-122.0966,37.6484)",48
-61,1202507620,"(-122.0966,37.6484)",50
-61,1202507739,"(-122.0966,37.6484)",58
-61,1202507746,"(-122.0966,37.6484)",56
-61,1202507831,"(-122.0966,37.6484)",59
-61,1202507874,"(-122.0966,37.6484)",51
-61,1202507878,"(-122.0966,37.6484)",50
-61,1202507949,"(-122.0966,37.6484)",54
-61,1202507962,"(-122.0966,37.6484)",64
-61,1202507978,"(-122.0966,37.6484)",62
-61,1202508079,"(-122.0966,37.6484)",62
-61,1202508166,"(-122.0965,37.6485)",65
-61,1202508218,"(-122.0966,37.6484)",56
-61,1202508296,"(-122.0966,37.6484)",52
-61,1202508438,"(-122.0966,37.6484)",48
-61,1202508468,"(-122.0966,37.6484)",59
-61,1202508470,"(-122.0966,37.6484)",55
-61,1202508564,"(-122.0966,37.6484)",57
-61,1202508597,"(-122.0966,37.6484)",60
-61,1202508659,"(-122.0966,37.6484)",57
-61,1202508707,"(-122.0966,37.6484)",59
-61,1202508778,"(-122.0966,37.6484)",66
-61,1202508792,"(-122.0966,37.6484)",59
-61,1202508879,"(-122.0966,37.6484)",58
-61,1202508964,"(-122.0965,37.6485)",62
-61,1202508978,"(-122.0966,37.6484)",56
-61,1202509066,"(-122.0965,37.6485)",60
-61,1202509092,"(-122.0966,37.6484)",57
-61,1202509223,"(-122.0966,37.6484)",53
-61,1202509463,"(-122.0966,37.6484)",62
-61,1202509557,"(-122.0966,37.6484)",56
-61,1202509566,"(-122.0966,37.6484)",56
-61,1202509586,"(-122.0966,37.6484)",53
-61,1202509659,"(-122.0966,37.6485)",56
-61,1202509666,"(-122.0966,37.6485)",60
